phrase,count
fan,1223
account,840
tour,730
stan,667
since,565
showgirl,476
music,474
updates,435
life,410
news,374
love,341
usa,330
turn,326
com,311
https,284
new,279
time,272
enthusiast,248
source,242
notifications,234
follow,228
girl,224
version,216
era,205
pop,203
free,202
business,202
world,185
gmail,183
like,181
dni,179
london,174
sabrina,164
daughter,164
best,163
never,160
met,159
eldest,156
get,154
york,152
daily,146
gain,144
rep,141
tay,141
chiefs,140
things,136
one,134
saw,133
miss,132
album,131
united,128
red,128
everything,128
data,126
back,121
actually,120
ifb,119
affiliated,118
awards,117
live,117
chartdata,116
mom,116
romantic,116
always,115
post,114
acc,110
team,110
mutuals,109
show,107
forever,106
brasil,105
city,104
debut,102
priv,102
palestine,101
lot,100
media,100
favorite,99
1989,99
spotify,98
please,98
real,97
defender,97
chart,96
los,96
people,95
speak,94
culture,94
know,93
florida,92
mind,91
official,91
writer,89
day,89
states,89
industry,88
make,87
chicago,86
hope,84
toronto,84
carpenter,84
canada,84
nola,82
much,82
olivia,82
artist,81
nyc,81
angeles,80
update,80
also,77
welcome,77
nation,76
miami,75
gaylors,75
millennial,73
latest,73
ariana,72
gay,72
kingdom,71
tortured,71
contact,71
something,71
still,70
global,69
heart,69
first,69
content,68
travis,68
gracie,68
lesbian,67
tnx1,67
baby,67
fun,67
member,66
gillette,65
indy,65
tnx6,64
sobre,64
main,63
albums,63
via,63
anything,63
probably,63
england,63
years,63
cat,63
wife,62
wins,62
inquires,62
nashville,62
living,61
secret,61
ttpd,61
tweet,61
liked,60
org,59
help,59
anywhere,59
ontario,59
books,58
paris,58
pretty,58
etc,58
loves,58
girlie,58
order,57
dreaming,56
backup,56
fearless,54
multifandom,54
meeting,54
good,54
god,54
department,54
singer,53
sarcastic,53
full,53
tayvis,53
worldwide,53
many,53
seattle,52
currently,52
let,51
film,51
got,51
big,51
texas,51
trying,51
page,50
emma,50
lors,50
sales,50
tloas,50
art,50
old,50
vancouver,50
