phrase,count,type
gack,27
ash,27
grammy,27
breaking,27
ohio,27
retirement,27
inquiries,27
podcasts,27
events,27
louis,27
teacher,27
threads,27
hate,27
past,27
thunder,27
cece,27
south,27
aoty,27
problem,27,tsr
rey,27
fangirl,27
kahan,27
kait,27
sun,27
moon,26
stream,26
updatecharts,26
videos,26
dms,26
must,26
asked,26
father,26,tsr
haunted,26,tsr
black,26
alert,26
marketing,26
heard,26
para,26
shs,26
kisesandlilacs,26
rights,26
tsou,26,tsr
two,26
posty,26
saga,26
thats,26,tsr
liz,25
liza,25
ottawa,25
moots,25
tampa,25
notifis,25
pro,25
forgot,25
information,25
beer,25
ashe,25
kaitsversionx,25,tsr
products,25,msc
wood,25,tsr
argentina,25,loc
tokyo,25,loc
